sample	sample_id	unit	platform	library	flowcell	lane	fq1	fq2	kb1	kb2
s001	T199967	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199967_T2087_1A_S5_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199967_T2087_1A_S5_L001_R2_001.fastq.gz	2954532	2954068
s002	T199968	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199968_T2087_1B_S6_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199968_T2087_1B_S6_L001_R2_001.fastq.gz	3567188	3613276
s003	T199969	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199969_T2087_1C_S1_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199969_T2087_1C_S1_L001_R2_001.fastq.gz	2038860	2050412
s004	T199970	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199970_T2087_1D_S2_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199970_T2087_1D_S2_L001_R2_001.fastq.gz	1653968	1697516
s005	T199971	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199971_T2087_1E_S3_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199971_T2087_1E_S3_L001_R2_001.fastq.gz	2209932	2296276
s006	T199972	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199972_T2087_1F_S4_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199972_T2087_1F_S4_L001_R2_001.fastq.gz	1590328	1639128
s007	T199973	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199973_T2087_1G_S7_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199973_T2087_1G_S7_L001_R2_001.fastq.gz	2724936	2765432
s008	T199974	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199974_T2087_1H_S8_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199974_T2087_1H_S8_L001_R2_001.fastq.gz	2382680	2404244
s009	T199975	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199975_T2087_2A_S9_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199975_T2087_2A_S9_L001_R2_001.fastq.gz	3005680	3069760
s010	T199976	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199976_T2087_2B_S10_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199976_T2087_2B_S10_L001_R2_001.fastq.gz	2602288	2666028
s011	T199977	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199977_T2087_2C_S11_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199977_T2087_2C_S11_L001_R2_001.fastq.gz	2682828	2744256
s012	T199978	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199978_T2087_2D_S12_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199978_T2087_2D_S12_L001_R2_001.fastq.gz	2770480	2830436
s013	T199979	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199979_T2087_2E_S13_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199979_T2087_2E_S13_L001_R2_001.fastq.gz	2678456	2775568
s014	T199980	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199980_T2087_2F_S14_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199980_T2087_2F_S14_L001_R2_001.fastq.gz	2505180	2553272
s015	T199981	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199981_T2087_2G_S15_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199981_T2087_2G_S15_L001_R2_001.fastq.gz	2045164	2081856
s016	T199982	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199982_T2087_2H_S16_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199982_T2087_2H_S16_L001_R2_001.fastq.gz	2467012	2536548
s017	T199983	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199983_T2087_3A_S17_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199983_T2087_3A_S17_L001_R2_001.fastq.gz	1889812	1928920
s018	T199984	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199984_T2087_3B_S18_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199984_T2087_3B_S18_L001_R2_001.fastq.gz	2160396	2248268
s019	T199985	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199985_T2087_3C_S19_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199985_T2087_3C_S19_L001_R2_001.fastq.gz	2192648	2231604
s020	T199986	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199986_T2087_3D_S20_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199986_T2087_3D_S20_L001_R2_001.fastq.gz	2293612	2356612
s021	T199987	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199987_T2087_3E_S21_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199987_T2087_3E_S21_L001_R2_001.fastq.gz	1458948	1495672
s022	T199988	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199988_T2087_3F_S22_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199988_T2087_3F_S22_L001_R2_001.fastq.gz	1855680	1916312
s023	T199989	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199989_T2087_3G_S23_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199989_T2087_3G_S23_L001_R2_001.fastq.gz	2203244	2274608
s024	T199990	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199990_T2087_3H_S24_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199990_T2087_3H_S24_L001_R2_001.fastq.gz	2126820	2198448
s025	T199991	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199991_T2087_4A_S25_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199991_T2087_4A_S25_L001_R2_001.fastq.gz	2481904	2557384
s026	T199992	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199992_T2087_4B_S26_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199992_T2087_4B_S26_L001_R2_001.fastq.gz	2365488	2401648
s027	T199993	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199993_T2087_4C_S27_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199993_T2087_4C_S27_L001_R2_001.fastq.gz	2221284	2259416
s028	T199994	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199994_T2087_4D_S28_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199994_T2087_4D_S28_L001_R2_001.fastq.gz	2484960	2532512
s029	T199995	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199995_T2087_4E_S29_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199995_T2087_4E_S29_L001_R2_001.fastq.gz	2221168	2260412
s030	T199996	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199996_T2087_4F_S30_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199996_T2087_4F_S30_L001_R2_001.fastq.gz	1878728	1936972
s031	T199997	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199997_T2087_4G_S31_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199997_T2087_4G_S31_L001_R2_001.fastq.gz	2125776	2183232
s032	T199998	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199998_T2087_4H_S32_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199998_T2087_4H_S32_L001_R2_001.fastq.gz	2050180	2103308
s033	T199999	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T199999_T2087_5A_S33_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T199999_T2087_5A_S33_L001_R2_001.fastq.gz	2231716	2330284
s034	T200000	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200000_T2087_5B_S34_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200000_T2087_5B_S34_L001_R2_001.fastq.gz	1626464	1673244
s035	T200001	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200001_T2087_5C_S35_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200001_T2087_5C_S35_L001_R2_001.fastq.gz	2366716	2448556
s036	T200002	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200002_T2087_5D_S36_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200002_T2087_5D_S36_L001_R2_001.fastq.gz	2950224	3091776
s037	T200003	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200003_T2087_5E_S37_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200003_T2087_5E_S37_L001_R2_001.fastq.gz	2461472	2551264
s038	T200004	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200004_T2087_5F_S38_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200004_T2087_5F_S38_L001_R2_001.fastq.gz	2729624	2801292
s039	T200005	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200005_T2087_5G_S39_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200005_T2087_5G_S39_L001_R2_001.fastq.gz	2990668	3073772
s040	T200006	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200006_T2087_5H_S40_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200006_T2087_5H_S40_L001_R2_001.fastq.gz	2994188	3069900
s041	T200007	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200007_T2087_6A_S41_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200007_T2087_6A_S41_L001_R2_001.fastq.gz	1288672	1331604
s042	T200008	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200008_T2087_6B_S42_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200008_T2087_6B_S42_L001_R2_001.fastq.gz	2780304	2889888
s043	T200009	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200009_T2087_6C_S43_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200009_T2087_6C_S43_L001_R2_001.fastq.gz	2369616	2460992
s044	T200010	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200010_T2087_6D_S44_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200010_T2087_6D_S44_L001_R2_001.fastq.gz	1740360	1817532
s045	T200011	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200011_T2087_6E_S45_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200011_T2087_6E_S45_L001_R2_001.fastq.gz	1967804	2063140
s046	T200012	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200012_T2087_6F_S46_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200012_T2087_6F_S46_L001_R2_001.fastq.gz	1953164	2008612
